word1,word2,count
de,retrouver,7
en,plein,7
que,son,7
la,grand,7
on,s,7
se,faire,7
lui,il,7
était,à,7
j,aurais,7
ai,pas,7
pour,faire,7
même,à,7
pas,il,7
a,chaque,7
le,sable,7
est,bien,7
petite,grille,7
je,regardais,7
d,aller,7
ne,le,7
mois,d,7
voiture,et,7
elle,et,7
voix,de,7
pour,qu,7
une,heure,7
penser,à,7
au,domaine,7
au,galop,7
des,fenêtres,7
instant,il,7
un,chapeau,7
travers,le,7
me,dire,7
il,paraissait,7
s,arrêtait,7
est,ainsi,7
et,au,7
son,visage,7
et,tous,7
de,jadis,7
le,magasin,7
des,plus,7
qui,venait,7
sa,voix,7
j,entendis,7
était,passé,7
avait,pris,7
sur,mon,7
les,grands,7
dont,le,7
seurel,et,7
on,me,7
dit,qu,7
porte,et,7
le,médecin,7
pour,voir,7
une,chaise,7
plus,que,7
de,toutes,7
d,entrer,7
se,dit,7
nous,lui,7
du,haut,7
au,cours,7
non,plus,7
en,passant,7
se,tourna,7
deux,fois,7
et,par,7
les,cris,7
au,contraire,7
route,et,7
des,jeunes,7
comme,moi,7
ou,de,7
le,plan,7
de,quelqu,7
nuit,et,7
on,se,7
tout,en,7
j,attendais,7
du,cher,7
un,enfant,7
les,petits,7
des,enfants,7
et,très,7
le,cheval,7
avec,elle,7
il,l,7
le,rideau,7
nous,avait,7
nous,en,7
le,bord,7
sa,voiture,7
ce,matin,7
chapeau,de,7
galais,et,7
sur,des,7
de,paris,7
en,large,7
auprès,du,7
à,bicyclette,7
quinze,ans,7
avec,le,7
monsieur,de,7
en,souriant,6
les,cheveux,6
s,aperçut,6
heures,et,6
son,lit,6
je,te,6
tu,n,6
nous,entendions,6
un,mot,6
était,l,6
mme,pignot,6
n,est-ce,6
à,mi-voix,6
pas,été,6
sans,qu,6
à,me,6
et,cette,6
des,vacances,6
cour,et,6
tout,est,6
en,même,6
de,passer,6
et,tandis,6
qui,menait,6
cour,de,6
veuve,delouche,6
le,nom,6
puis,la,6
fut,un,6
les,filles,6
la,suite,6
le,café,6
mur,de,6
tour,de,6
mais,sans,6
d,ici,6
crois,bien,6
l,oreille,6
son,aventure,6
contre,la,6
temps,pour,6
s,être,6
jardin,et,6
la,fiancée,6
fait,de,6
la,bonne,6
entre,ses,6
de,petites,6
la,rentrée,6
plus,vite,6
grand,gars,6
oncle,florentin,6
dont,elle,6
les,jours,6
même,la,6
quoi,bon,6
seulement,que,6
meaulnes,que,6
à,parler,6
les,haies,6
depuis,le,6
petits,coups,6
a,tout,6
a,ce,6
cuisine,et,6
maison,et,6
d,air,6
comme,on,6
que,cela,6
de,velours,6
moi,et,6
le,fond,6
cette,maison,6
une,de,6
sans,avoir,6
l,herbe,6
à,des,6
la,mort,6
mais,que,6
ne,peut,6
bonne,femme,6
en,bas,6
à,cheval,6
dans,ma,6
était,arrivé,6
ainsi,que,6
cinq,heures,6
de,retour,6
à,partir,6
les,invités,6
de,terre,6
des,femmes,6
le,froid,6
pour,regarder,6
pleine,de,6
chaque,instant,6
bohémien,qui,6
des,pieds,6
avec,nous,6
au-dessus,de,6
de,me,6
fois,encore,6
cet,instant,6
de,coeur,6
de,voiture,6
avait,plus,6
un,jeune,6
le,lieu,6
avaient,été,6
avant,que,6
à,tous,6
trois,heures,6
à,temps,6
toutes,ses,6
compagnon,et,6
dit,l,6
d,autre,6
être,le,6
de,grands,6
le,bas,6
tout,son,6
un,pas,6
tourna,vers,6
grande,salle,6
du,premier,6
moi,c,6
une,porte,6
lorsque,la,6
les,premiers,6
son,air,6
fois,qu,6
jusqu,aux,6
a,quoi,6
rien,que,6
à,qui,6
de,dire,6
j,arrivai,6
la,veuve,6
devant,l,6
bien,je,6
ce,ne,6
la,rivière,6
ne,sait,6
chemin,du,6
pour,que,6
ils,ont,6
instant,de,6
ne,vous,6
vous,le,6
le,haut,6
ses,épaules,6
se,levait,6
de,long,6
sont,les,6
de,juin,6
